# 格式：阅读定位 | 今日知识点（分号分隔） | 唯一主任务 | 验收结果。每周严格 7 行。
# W01
norm@3.2,3.3;ffn@2.3|LayerNorm 与 RMSNorm 区别;FFN 两层投影;残差 shape|分别实现 RMSNorm 与小 FFN，然后写 x+FFN(norm(x))|输出 shape 不变；全零输入无 NaN；RMSNorm 与 torch reference 在阈值内一致
rope@5.1,5.5;decoder@2|旋转位置编码;配对维度;Decoder 数据流|为 Q/K 加最小 RoPE；拼一个不带训练的 Decoder Block|位置 0 旋转前后相同；奇数 head_dim 拒绝；Block 输出仍为 [B,S,H]
generate@4,5,6.3,6.4|prefill 与 decode;缓存键值;KV 容量公式|为小 Decoder 加连续 KV cache；逐 token 输出与一次性 causal 前向对照|固定输入、eval 模式，两种 logits 在阈值内一致；缓存长度每步加 1；记录实际字节数
gpu@2.2,2.3,3.1,4.1|SM 与 warp;寄存器/shared/HBM;Tensor Core 不是通用线程|查询可用 GPU，写设备规格小脚本；没有 GPU 时用明确标注的公开规格计算|记录设备与可用性；估算一个矩阵的运算量/字节数；不要求实现 tiny-gpu 硬件
gpu@3.3;infer@4.1,4.3|算术强度;计算瓶颈与带宽瓶颈;batch 影响|对 B=1/4、S=16/128 计算小 Decoder 的 KV 容量与主要矩阵 FLOPs|表格随 batch、序列长增长合理；区分理论估算与测量结果；保留 Python 公式脚本
# W06
env@1,5,6,7|驱动与 Toolkit;nvcc;host/device 编译|建立 CUDA CMake 工程并跑 hello kernel；记录真实设备版本|编译及同步检查通过；GPU 不可用时只完成环境排错，不冒充 kernel 已运行
model@3.2,3.4,4.4;vector@2|global index;grid-stride loop;launch 错误检查|写 vector add 并和 CPU 对照；支持任意 N|N=1/1003/65536 均一致；N=0 不非法启动；所有 CUDA API 检查返回值
memory@3.2;access@2.5|合并访问;行列映射;不连续写的代价|写 naive CUDA transpose，并画出相邻线程读取/写入地址|17×31 非方阵正确；列出一个 warp 的地址步长；今天只做正确基线
memory@4.1;sync@2.1,2.3;access@5.1|共享 tile;协作读写;条件分支外同步|实现 shared-memory tiled transpose，处理非整 tile 边界|同输入与 naive 一致；所有线程到达需要的同步；用 compute-sanitizer 检查
access@3.1,3.3,3.4,3.6|bank conflict;padding;指标与因果|对 tile[32][32] 和 tile[32][33] 两版转置做对照|正确性相同；记录 bank 指标和延迟；无对应计数器时说明硬件/工具限制
vector@5.2,5.3,7.3|CUDA Event;异步执行;传输与计算分离|给 vector add 和 transpose 加统一 GPU 计时入口|区分 H2D、kernel、D2H 与端到端；固定 warmup/重复次数；计时前后正确同步
occupancy@1.1,3.3,5.1|block 大小;occupancy;高占用率不保证更快|扫描 vector add 的 block=128/256/512，结合 profiler 查看资源|三组结果一致；保留延迟和资源数据；结论只针对当前 shape/设备
# W07
reduce@1.1,2.1,2.2;sync@2.3|树形归约;每 block 的部分和;跨 block 不能直接同步|写两阶段 sum reduction：先输出各 block 部分和，再归约|N=1/1003/65536 与 CPU 参考一致；不使用未定义跨 block 同步
warp@4.2,4.5,6.1|warp shuffle;活跃 mask;block 两级归约|用 warp shuffle 改造 reduction，尾部线程以零参与|31/32/33 元素都通过；保留原版；不盲用不参与线程的值
softmax@1.2,1.3,3.1,3.2|减最大值;溢出;按行归约|写稳定 softmax baseline；先保证 FP32 正确|[1000,1001] 不溢出；行和约 1；常量行输出均匀；拒绝空行
online@2.1,2.2,3.2|在线最大值与指数和;缩放修正;数值误差|先在 Python 写 online softmax，和三遍 reference 比较|随机、极值、长度 1 的输出一致；不要求今天同时写 GPU 优化版
norm@3.2,5.1;reduce@8.2|均值与方差;epsilon;FP32 累加|实现简单 CUDA LayerNorm，重用归约；只支持连续 FP32 行|hidden=128/513 两类输入对齐 PyTorch；常量行无 NaN；声明支持范围
occupancy@3.1,3.2,6.2|寄存器压力;共享内存限制;测量单变量|为 reduction 选两种 block 大小，采集 latency 和一个资源指标|不同时改算法与 launch 参数；记录至少一个无收益或退化条件
softmax@6.1,6.2|融合减少读写;正确性回归|把 softmax 的中间计算合进一个 kernel，保留 baseline|输出仍与 reference 一致；记录 kernel 数变化；吞吐不提升也保留结果
# W08
gemm@1.1,3.1|M/N/K;每线程一个输出;矩阵尾部保护|写 FP32 naive CUDA GEMM|2×3 乘 3×2 对齐手算；17×19 乘 19×23 对齐 CPU；维度错明确拒绝
gemm@4.1,4.2,4.4,4.5|block tile;沿 K 累加;协作加载与同步|在 naive 基础上添加 shared-memory tiling|三个非整 tile shape 与参考一致；边界位置零填充；每轮重用前正确同步
gemm@5.2,5.3,5.4|每线程多个输出;寄存器复用;资源预算|为一个固定 shape 实现小型 register tile，保留通用 fallback|输出与 shared 版一致；记录每线程寄存器数；不支持 shape 走原版
gpu@4.1,4.2;gemm@10.4|Tensor Core 输入格式;FP32 累加;库实现与自己实现的区别|运行一个 CUTLASS GEMM 示例或受支持的 WMMA 例子，作为外部基线|记录 GPU 架构、dtype、shape；不支持 Tensor Core 时记录能力检查，不伪造结果
vector@5.2;gemm@1.3,2.1|GFLOPS;kernel 时间;公平 cuBLAS 基线|统一 naive/tiled/cuBLAS 的计时与数值检查|同 shape/dtype/精度设置，分开初始化与计时；报告重复次数、P50、误差和硬件
gemm@12.3;occupancy@5.1,5.2|计算与带宽瓶颈;occupancy 取舍;退化条件|仅扫描 tile=16/32 或两个 register tile，解释一组性能差异|保留正确性和资源数据；报告支持边界，不要求超过 cuBLAS
gemm@9.1,10.1,10.2|双缓冲;异步拷贝;架构能力边界|画两阶段加载/计算时间线；在支持硬件上运行一个官方流水线示例|标明等待/可覆盖位置；本日是补充机制验证，不要求手写 Hopper 高级流水线
# W09
!triton-add|program_id;block 数组;mask|按官方 Vector Addition 写 Triton add，验证尾部 mask|N=1/1003 均对齐 torch；输出不越界；记录 triton 与设备版本
!triton-softmax|tl.max/tl.sum;融合;block 大小|写 Triton stable softmax，只支持连续行|行长 33/128/513 输出正确；解释 padding mask 填值；与 CUDA baseline 同输入比较
!triton-norm|行归约;广播;eps|实现 Triton RMSNorm，和 W07 CUDA/torch 基线对照|连续 FP32/FP16 输入通过误差阈值；不支持 layout 明确 fallback
flash@1.1,1.2,2.1,3.2|不物化 S×S 矩阵;online 统计量;IO-aware|用 Python 写分块 attention reference，先不用 Triton|S=7、block=4 与 dense attention 对齐；不创建完整概率矩阵；保存误差
flash@4.1,5.2;flash2@4.1,4.2|Q/K/V 分块;在线输出修正;沿 Q 并行|阅读并运行官方 Triton attention 示例的一组小输入，和前日 reference 对照|因果/非因果两种结果正确；标明引用代码与自己修改部分，不声称自研 FlashAttention
!triton-matmul|autotune 配置;编译成本;holdout shape|为已有 Triton kernel 只选择 2–3 种配置，固定小搜索预算|调参 shape 和未参与调参 shape 都测；报告首轮/稳态；不拿编译时间冒充计算延迟
flash@7.1,7.2|IO 估算与测量的差别;对照协议|统一 kernel-lab 的正确性入口，保留 softmax/norm/GEMM 的结果表|一条入口能跑至少三类测试；每个性能数字能定位原始数据；缓冲补齐本周未过测试
# W10
torch@2.1,2.2|计算图节点;拓扑排序;链式法则|写标量 autograd 的 add/mul 和 backward；先不做矩阵梯度|y=x*x+2*x，x=3 时梯度为 8；重复使用同一节点能正确累积
torch@2.3|梯度累积;zero_grad;数值梯度|为 autograd 添加清零与中心差分检查；覆盖共享子图|两次 backward 累积结果符合约定；清零后恢复；与有限差分误差在阈值内
!torch-custom|算子 schema;dispatcher 注册;CPU/CUDA 实现边界|按官方 custom operator 教程追踪一个调用，先写最小 CPU 自定义 add|从 Python 调用能得到正确值；记录 schema 和注册实现位置，不只画泛泛调用链
cpp@6.3;!torch-custom|跨语言边界;Tensor device;编译扩展|把 W07 的一个 CUDA kernel 接入 PyTorch extension，先只支持连续 FP32|Python 能调用；输出对齐 reference；CPU 输入明确 fallback 或拒绝
!torch-custom;torch@1.2,1.4|shape/dtype/layout 检查;fake tensor;错误路径|为自定义算子加入输入检查和 fake/meta 注册，保留 native fallback|非连续/非法 dtype 不静默错算；fake 推断形状一致；记录当前版本 API
torch@6.1,6.2|profiler CPU/CUDA 活动;调用次数;数据拷贝|采集一个 custom op 的 profiler trace，定位 Python 到 kernel 的实际调用|trace 中能找到 kernel 和拷贝；运行耗时单独测，不使用 profiler 时间作最终 benchmark
torch@1.2;cpp@6.4|零拷贝的条件;所有权;连续与兼容 stride|对 transpose、切片、contiguous 三种输入测试 custom op|三类输入的支持/拒绝路径明确；保留至少一个非连续输入回归，不背诵问题列表
# W11
!fx|GraphModule;node 的 args/users;拓扑顺序|symbolic_trace 捕获小型 eval 模型，逐节点打印 op/target/inputs|能重建输入到输出依赖；GraphModule 与原模型结果相同
!fx|模式匹配;eval 时 BN 折叠;融合前提|只实现 eval 模式 Conv+BN 权重折叠；ReLU 保持独立，别称为三算子单 kernel 融合|保存前后图；Conv+BN 节点变成单 Conv；权重/偏置计算可追踪
!fx|训练状态;多用户节点;数值回归|给折叠 Pass 补正常与不匹配测试|eval 正例等价；train 模式和多分支不安全例拒绝改写；图 lint 通过
!onnx|opset;initializer;shape inference|导出小型 MLP 到 ONNX，运行 checker 与 shape inference|得到可加载模型；输入输出 shape 正确；记录导出工具版本与 opset
!onnx|Runtime 对照;浮点容差;固定随机输入|用 ONNX Runtime 与 PyTorch 对同一个模型跑 3 组输入|数值误差有阈值；不把文件成功导出等同于正确执行
!fx|常量折叠;副作用;死节点清理|为纯常量 add 实现安全折叠，拒绝带随机性/副作用的节点|正例图少一个计算节点；随机节点不改写；运行结果保持一致
!fx|Pass 幂等性;管线顺序;负例保护|连续运行两次已有 Pass，增加前后图快照测试|第二次图不再变化；全套正负例通过；当天不再新增优化
# W12
!compile|Dynamo/Inductor 分层;编译与稳态|对小 MLP 跑 eager 和 torch.compile，分开首次调用与后续运行|记录版本、输入、首次/稳态时间；输出与 eager 一致
!compile|guard;specialization;图捕获边界|开启编译日志，只修改 batch 大小，保存 guards/recompile 现象|相同输入复用与变 shape 的行为可区分；不承诺每次变 shape 都重编译
!compile|graph break;Python 数据依赖;fullgraph|构造一次数据依赖分支导致的 graph break，再改写为支持的张量操作|日志能定位原始位置；修改后对两种分支输入验证一致
!compile|动态维度;支持范围;多次编译|比较静态与动态 shape 配置在三个 batch 上的行为|记录捕获图数/重编译记录和数值；只在当前版本支持范围内下结论
!compile|生成 kernel;pointwise fusion;launch 开销|导出 Inductor 生成代码，定位 x*y+z 的融合实现|标出输入、输出和 mask；对照 eager 的算子数量，不将注释当代码执行证据
backend@5,6.1,6.2|编译与图捕获的区别;不透明算子;切图|在自定义算子例子中对比 eager/compile，说明不能跨越的边界|正确执行或有明确失败定位；原文解释 vLLM 场景，本地例子是迁移验证
!compile|最小复现;回归用例;冷启动代价|为本周一次 graph break/重编译异常整理可独立运行的 regression|新进程可重现；环境、预期、实际三项齐全；缓冲处理尚未通过的实验
# W13
!llvm|SSA value;基本块;终结指令|用 Python 定义 Value/Instruction/Block，表示一个 if 程序|IR 可打印；所有 block 有终结指令；引用未定义值被 verifier 拒绝
!llvm|CFG 前驱后继;可达性;支配关系|为 IR 建 CFG，计算可达块和简单支配集合|菱形 CFG 的入口支配所有块；不可达块单独列出；边一致性测试通过
!llvm|SSA 重命名;phi 入边;use-def|手工构造 if 合流点的 phi，并让小解释器按前驱取值|两条分支输入输出正确；phi 少一条入边时 verifier 报错
!llvm|常量折叠;DCE;副作用保留|为纯算术节点实现 constant folding 和 dead-code elimination|结果相同、死纯节点被删；带打印或写内存的节点不被误删
!llvm|活跃区间;寄存器数量有限;spill|用一个小 IR 计算临时值活跃区间，写最小线性扫描分配模拟|两个可复用区间使用同一寄存器；预算不足时显示 spill，不假称真实 GPU 分配器
!fx;!llvm|图 IR 与控制流 IR;表达能力;优化边界|把同一算术表达式写成 FX 图和三地址码，用测试对照结果|各有可运行表示；明确 Python 控制流无法一概由 symbolic_trace 捕获
!llvm|Pass 顺序;verifier;幂等性|给小编译实验建立 verify→fold→DCE→verify 管线|非法 IR 在优化前被拒绝；运行两次结果相同；保留 pass 前后 IR
# W14
!toy1|AST;语法树到 IR;构建版本|按 MLIR Toy 第 1 章构建并运行已有示例；今天以运行理解为主|保存编译器版本、命令、AST 输出；不同时从零重造 Toy
!toy2|operation/type/attribute;region/block;verifier|按 Toy 第 2 章生成一段 MLIR，修改一处类型触发 verifier|合法例可解析；非法例有诊断；能对应一个 operation 的声明和输出
!toy3|RewritePattern;匹配条件;替换|基于 Toy 实现或复现双重 transpose 消除，再添加一个不匹配用例|前后 IR 显示消除；单 transpose 不消除；数值输出一致
!toy4|接口;shape inference;泛型 Pass|跑 Toy 形状推断，保存推断前后的 tensor 类型|输入 shape 改变后输出推断正确；错误维度得到诊断
!toy5|partial lowering;合法 dialect;循环与内存|把 Toy 的矩阵计算部分降到低层 dialect，保存前后 IR|目标高层 op 消失；仍需保留的 op 不被误删；合法性检查通过
!toy6|LLVM lowering;代码生成;运行时|把前日例子继续降到 LLVM 并运行，和 Python reference 对照|小矩阵输出一致；保留完整 lowering 命令；不要求同时完成 tiny-gpu-compiler
!toy3;!toy5|rewrite 正负例;lowering 边界|补 MLIR 回归测试，明确本周仅掌握 Toy 管线；tiny-gpu-compiler 作为选修|至少双转置正例/负例与一次完整 lowering 通过；不过度扩展教学项目
# W15
!tvm|IRModule;Relax/TIR/runtime;版本锁定|选择一个有对应文档的 TVM 版本，运行最小加法教程|记录 tag/commit、Python/LLVM/CUDA；教程代码与版本一致；不要混抄旧 Relay API
!tvm|Relax 数据流;模型导入;常量参数|导入固定 shape 的两层 MLP 到 Relax，保存导入 IR|输入/输出 shape 和权重正确；只选当前版本支持的前端，不同时接两种
!tvm|normalize;shape/dtype;dataflow|运行规范化与类型/shape 推断，逐条检查 MLP 的 call|每个节点有预期 shape；错误权重维度被拒绝；保留前后 IR
!tvm|unsupported op;能力检查;fallback|构造一个不支持的模型节点，在编译前提供清晰拒绝或 eager fallback|支持输入能运行；不支持输入不静默替换语义；日志说明原因
!tvm;vector@5.2|编译、加载与稳态;baseline 对齐|跑 MLP 的 eager/compile/TVM 基线，先小 shape 后代表性 shape|三者同输入、同精度设置；数值先过再计时；单列编译成本
!tvm|Relax→TIR→runtime;模块边界|为当前版本的执行路径保存一组 IR 和生成代码，标出对应函数|可从模型节点追到实际执行入口；不写没有运行过的模块名称
!tvm|构建可复现;输入支持矩阵|在新进程加载保存的编译产物并执行，记录限制|模型参数无需手动补丁；不支持 shape 明确报错；记录是否依赖固定设备
# W16
!tvm|PrimFunc;buffer/block;归约轴|用当前版本 TVMScript 写 matmul baseline，先不调度|2×3 乘 3×2 对齐 reference；IR 可解析、可编译
!tvm;gemm@4.1,4.2|split/reorder;缓存层次;循环映射|对 baseline 逐个加入分块/重排/缓存，每一步保存 IR|每一步都通过数值测试；能定位改变的循环，不一次粘贴最终 schedule
!tvm;model@3.3;sync@2.3|thread binding;协作加载;边界谓词|将一个合法 schedule 绑定到 GPU block/thread，覆盖非整 shape|17×19 乘 19×23 正确；无越界；不支持情况走基线
!tvm;gemm@5.2|寄存器 tile;表达方式与性能|对照 TIR 生成 CUDA 与手写 tiled GEMM，比较循环和 load/store|至少标明三处对应结构；同输入正确且公平计时；不要求谁一定更快
!tvm|搜索空间;测量预算;调优数据库|仅对一个 matmul shape 跑有上限的小型 MetaSchedule 搜索|记录 trial 数、硬件、最佳 trace 和总调优时间；能重放最佳配置
!tvm|holdout shape;调优过拟合;fallback|用两个未调参 shape 验证前日策略，保留通用 schedule|正确性均通过；性能可能退化但记录真实；不把单 shape 结果泛化
!tvm|schedule 合法性;回归测试;版本漂移|整理最小 TIR schedule 库和版本锁定，复现三组输入|命令能重放；不合法 schedule 有最小失败例；完成后才进入主项目
# W17
comm@3.4;ddp@1|rank/world size;AllReduce;进程初始化|用 CPU/Gloo 两进程对 [rank+1] 做 sum all-reduce|两进程结果都为 3；只有一台电脑也可做，注明是 CPU 演示
ddp@2.1,2.2|梯度同步;数据切分;DDP 更新|跑 CPU 两进程线性模型 DDP，使用正确的样本分配|一次更新后各 rank 参数相同；等效全局 batch 与单进程结果近似一致
optim@3;ddp@3.1|参数、梯度、优化器状态;ZeRO 分片|写 AdamW 显存估算器，对照参数字节与实际状态张量|记录精度、参数量、分片份数；不把公式估算称为真实多卡节省
ddp@3.2,3.3,3.4|FSDP all-gather/reduce-scatter;临时全参数|有合适 GPU 则运行最小 FSDP；否则用数组模拟分片与还原|输出每 rank 的持有范围；模拟与真运行清楚区分；不伪造通信性能
comm@3.5,3.6,3.7|AllGather/ReduceScatter/AllToAll;分片轴|用两进程小张量验证 gather/scatter 的输入输出，写参数分片图|还原后顺序正确；对应各进程张量尺寸；不把支持机制等同掌握大规模策略
ddp@6|梯度累积;同步次数;死锁排查|在 DDP 中对比每步同步与累积后同步，固定等效 batch|更新接近一致；记录同步次数；一个 rank 提前退出能被定位，不无限等待
ddp@4,5|原理与设备约束;训练 Infra 能力边界|整理可运行两进程入口，增加环境检查与超时提示|README 明确 CPU/GPU、进程数和未覆盖的 TP/PP/千卡实践；不填问答作业
# W18
infer@1.2,2.2;generate@6.3|prefill/decode;缓存生命周期|重用 W05 Decoder，给 prefill/decode 分开计时|固定 token 输入；缓存递增正确；单列首轮与后续 token 延迟
paged@2,3|页块;block table;逻辑与物理索引|用 Python 数组模拟 KV 分页，写 logical token→block/offset 查找|跨页索引正确；释放后块能复用；不宣称实现 GPU PagedAttention
batch@3,4|迭代级调度;请求完成退出;新请求加入|写三个不同长度请求的 continuous batching 调度模拟|每个请求生成长度正确；完成请求退出；空槽可接新请求
prefix@3.1,3.2,4|前缀匹配;引用计数;回收条件|给模拟缓存添加相同 prefix 的块复用和引用计数|两请求共享块不重复分配；一个结束不提前释放；最后一个结束可回收
chunk@2,3,4|token budget;chunked prefill;延迟与吞吐取舍|给调度器加 token budget，把长 prefill 拆为多次迭代|每步预算不超限；新 decode 不因整段 prefill 永久饥饿；输出顺序正确
vllm@4.1,6.2;infer@3.1,3.2|实际引擎入口;采样参数;TTFT/吞吐|有条件运行小模型 vLLM；否则在自己的 Decoder 上测同类指标并明确标注|记录模型、版本、硬件与 token 数；不虚构 vLLM 成功部署；只测实际运行系统
backend@4,5|CUDA Graph;地址/shape 约束;compile 的区别|用固定 shape 小模型尝试图捕获，比较重复执行开销|先验证输出；不兼容条件有明确记录；量化与完整推理服务暂列选修，避免一周包打天下
# W19
norm@3.3;softmax@1.3|算子契约;LLM 场景;非目标|为项目 A 写 RFC：核心只做 Softmax、RMSNorm、RoPE，GEMM 为复用基线|写明支持设备/dtype/layout/shape、误差阈值、非目标；不承诺超越官方库
cpp@5.7,9.1|目录边界;依赖锁定;可重复测试|建立 operators/tests/benchmarks/bindings/docs 和环境检查脚本|一条命令可跑空骨架的 smoke test；缺 GPU 时给清晰提示，不静默跳过全部测试
vector@5.2;softmax@7.2|基准协议;统计量;精度先行|冻结三类算子的 shape 表、reference 和计时协议|包含小/大/非对齐输入；结果字段有 GPU/dtype/误差/P50/warmup/重复次数
softmax@3.2;norm@3.3|正确基线;模块接口;迁移不等于复制堆积|迁入已验证的 Softmax/RMSNorm baseline，统一签名和错误返回|原实验与项目函数对同输入一致；移除硬编码 shape；有最小调用示例
torch@1.2,1.4|支持矩阵;极值;非法输入|为连续 FP32 和 FP16 建 correctness matrix，加入非连续/空行/NaN 策略|每个支持格有测试；每个拒绝格有明确路径；NaN 行为写进契约
rope@5.1,5.5|旋转维度;position;reference|给 RoPE 写独立 Python reference 与测试数据生成器|position=0 不变；位置变化保持配对向量范数；非法 head_dim 拒绝
cpp@9.4|失败最小化;输入种子;回归保护|审计项目 A 三类 reference 与协议，修复本周最小失败例|失败输入可用种子重建；核心接口无歧义；未通过项不标里程碑完成
# W20
softmax@4.1,4.2|warp 归约;尾部 mask;版本选择|将 Softmax 改为 warp 优化版；保留 baseline 并声明选择条件|支持行长全部数值通过；不支持的超长行走 baseline；不丢尾元素
norm@3.3,5.1;reduce@8.2|RMSNorm 归约;FP32 累加;epsilon|实现 RMSNorm 的 block-reduce 版，保留简单 reference|常量/极值/非对齐行通过；epsilon 与 reference 相同；记录误差
softmax@5.1,5.2;access@4.4|向量化加载;指针对齐;scalar fallback|只给一个算子加向量化路径；用 runtime 条件选择|对齐输入命中快路径；不对齐输入走安全路径；两者均正确
!torch-custom|schema;CPU/CUDA dispatch;Python API|为项目 A 注册 PyTorch custom op，让调用者不用处理裸指针|Python API 可调用两类算子；device/dtype 不支持时错误清晰
!torch-custom|fake/meta;compile 兼容;输入守卫|补 fake 实现和框架回归，用 torch.compile 调用项目 A|shape 推断正确；compile 正常或明确 fallback；不隐式改变数值语义
occupancy@6.2;vector@5.2|资源指标;单变量优化;统计稳定|选一个算子、两组 shape 对比 baseline 与优化，采集性能证据|输出原始计时数组与资源指标；重复试验；保留至少一组退化/无收益条件
